episode_number,success_episode,failure_episode,episode_reward,episode_step
1,False,True,347,76
2,False,True,-117,10
3,False,True,-20,22
4,False,True,91,51
5,False,True,-78,16
6,False,True,-14,24
7,False,True,69,41
8,False,True,129,42
9,False,True,-43,20
10,False,True,-58,19
11,False,True,30,30
12,False,True,42,32
13,False,True,-32,22
14,False,True,-1,26
15,False,True,133,49
16,False,True,-93,17
17,False,True,-52,23
18,False,True,-101,14
19,False,True,71,45
20,False,True,-97,14
21,False,True,208,52
22,False,True,10,27
23,False,True,37,34
24,False,True,59,35
25,False,True,8,27
26,False,True,-15,26
27,False,True,92,40
28,False,True,57,35
29,False,True,70,35
30,False,True,58,35
31,False,True,68,35
32,False,True,47,32
33,False,True,178,51
34,False,True,57,35
35,False,True,152,51
36,False,True,32,35
37,False,True,-126,10
38,False,True,60,35
39,False,True,203,52
40,False,True,-47,22
41,False,True,-16,23
42,False,True,42,33
43,False,True,95,42
44,False,True,127,41
45,False,True,-89,16
46,False,True,-61,20
47,False,True,82,38
48,False,True,121,46
49,False,True,-79,17
50,False,True,92,41
51,False,True,-98,14
52,False,True,65,36
53,False,True,130,45
54,False,True,121,42
55,False,True,99,41
56,False,True,71,37
57,False,True,104,39
58,False,True,204,62
59,False,True,48,35
60,False,True,18,30
61,False,True,82,38
62,False,True,194,55
63,False,True,49,37
64,False,True,77,37
65,False,True,32,34
66,False,True,125,46
67,False,True,78,37
68,False,True,-60,20
69,False,True,99,41
70,False,True,177,54
71,False,True,60,46
72,False,True,12,28
73,False,True,299,71
74,False,True,135,52
75,False,True,248,63
76,False,True,48,33
77,False,True,9,28
78,False,True,182,51
79,False,True,140,49
80,False,True,-84,15
81,False,True,65,37
82,False,True,174,53
83,False,True,202,59
84,False,True,-84,16
85,False,True,108,43
86,False,True,193,59
87,False,True,129,47
88,False,True,58,34
89,False,True,175,53
90,False,True,115,44
91,False,True,232,60
92,False,True,70,37
93,False,True,184,51
94,False,True,-40,20
95,False,True,239,64
96,False,True,249,65
97,False,True,238,64
98,False,True,70,37
99,False,True,83,37
100,False,True,607,110
101,False,True,129,46
102,False,True,85,40
103,False,True,207,56
104,False,True,166,52
105,False,True,82,39
106,False,True,127,45
107,False,True,121,45
108,False,True,143,53
109,False,True,91,39
110,False,True,494,93
111,False,True,192,57
112,False,True,249,63
113,False,True,288,71
114,False,True,21,30
115,False,True,189,56
116,False,True,258,67
117,False,True,387,82
118,False,True,85,39
119,False,True,124,47
120,False,True,231,74
121,False,True,194,57
122,False,True,105,42
123,False,True,217,60
124,False,True,149,49
125,False,True,123,46
126,False,True,158,51
127,False,True,98,41
128,False,True,200,58
129,True,False,940,101
130,False,True,206,58
131,False,True,157,50
132,False,True,145,49
133,False,True,190,54
134,False,True,19,28
135,False,True,63,36
136,False,True,451,95
137,False,True,233,63
138,False,True,104,41
139,False,True,259,67
140,False,True,174,50
141,False,True,215,61
142,False,True,269,69
143,False,True,127,44
144,False,True,261,64
145,False,True,227,62
146,False,True,-33,24
147,False,True,57,35
148,False,True,116,44
149,False,True,378,82
150,False,True,162,51
151,False,True,240,63
152,False,True,63,37
153,False,True,487,92
154,False,True,220,60
155,False,True,401,84
156,False,True,190,56
157,False,True,202,58
158,False,True,141,48
159,False,True,155,55
160,False,True,80,39
161,False,True,287,67
162,False,True,399,84
163,False,True,344,77
164,False,True,143,48
165,False,True,325,73
166,False,True,144,50
167,False,True,146,50
168,False,True,365,78
169,False,True,259,67
170,False,True,274,69
171,False,True,170,52
172,False,True,266,68
173,False,True,287,71
174,False,True,163,52
175,False,True,181,54
176,False,True,280,71
177,False,True,204,58
178,False,True,222,61
179,False,True,227,61
180,False,True,248,65
181,False,True,278,69
182,False,True,108,42
183,False,True,183,56
184,False,True,281,70
185,False,True,362,84
186,False,True,195,57
187,False,True,275,69
188,False,True,453,93
189,False,True,309,73
190,False,True,363,84
191,False,True,341,80
192,False,True,295,71
193,False,True,603,110
194,False,True,254,64
195,False,True,136,48
196,False,True,215,60
197,False,True,136,47
198,False,True,242,64
199,False,True,182,53
200,False,True,297,72
201,False,True,231,62
202,False,True,331,77
203,False,True,-72,18
204,False,True,377,79
205,True,False,1301,157
206,False,True,296,72
207,False,True,285,71
208,False,True,87,39
209,False,True,318,76
210,False,True,331,78
211,False,True,174,54
212,False,True,751,134
213,False,True,153,50
214,False,True,294,71
215,False,True,308,75
216,False,True,293,71
217,False,True,48,34
218,False,True,245,64
219,False,True,613,118
220,False,True,370,84
221,False,True,262,68
222,False,True,349,81
223,False,True,421,91
224,False,True,282,69
225,False,True,431,91
226,False,True,315,75
227,False,True,428,89
228,False,True,384,85
229,False,True,181,54
230,True,False,1119,128
231,False,True,222,61
232,False,True,189,55
233,False,True,340,80
234,False,True,373,85
235,False,True,374,83
236,False,True,115,44
237,False,True,193,55
238,False,True,810,143
239,False,True,879,155
240,False,True,310,75
241,False,True,686,124
242,False,True,217,60
243,False,True,248,65
244,False,True,79,38
245,False,True,185,54
246,False,True,185,55
247,False,True,143,48
248,False,True,432,104
249,False,True,352,81
250,False,True,267,67
251,False,True,298,71
252,False,True,522,106
253,True,False,1408,176
254,False,True,270,69
255,False,True,810,143
256,False,True,196,57
257,False,True,355,82
258,False,True,434,95
259,False,True,312,73
260,False,True,200,57
261,False,True,320,76
262,False,True,235,62
263,False,True,131,48
264,False,True,386,86
265,False,True,422,92
266,False,True,361,82
267,False,True,444,95
268,False,True,361,82
269,False,True,264,67
270,False,True,691,125
271,False,True,367,84
272,False,True,858,152
273,False,True,288,70
274,False,True,316,77
275,False,True,320,76
276,False,True,415,92
277,False,True,424,92
278,False,True,263,66
279,False,True,412,91
280,False,True,376,85
281,False,True,751,134
282,False,True,423,93
283,True,False,1353,170
284,False,True,410,90
285,False,True,292,72
286,False,True,347,80
287,False,True,816,146
288,False,True,795,146
289,False,True,362,83
290,False,True,930,162
291,False,True,285,71
292,False,True,380,85
293,False,True,452,94
294,False,True,346,78
295,False,True,378,85
296,False,True,434,95
297,False,True,315,75
298,False,True,309,74
299,False,True,406,91
300,False,True,147,50
301,False,True,295,72
302,False,True,369,84
303,False,True,447,95
304,False,True,456,94
305,False,True,55,35
306,False,True,251,65
307,False,True,418,90
308,False,True,391,87
309,True,False,1315,163
310,False,True,295,71
311,True,False,1299,160
312,False,True,377,84
313,False,True,359,81
314,True,False,1437,181
315,False,True,339,80
316,False,True,221,61
317,False,True,459,98
318,False,True,440,96
319,False,True,934,166
320,False,True,1069,187
321,False,True,319,75
322,True,False,1453,186
323,False,True,428,93
324,False,True,339,79
325,False,True,252,65
326,False,True,888,158
327,False,True,1347,200
328,False,True,388,86
329,False,True,377,85
330,False,True,406,90
331,False,True,290,71
332,False,True,898,156
333,False,True,353,81
334,True,False,1398,178
335,False,True,281,69
336,False,True,356,81
337,False,True,1019,179
338,False,True,208,58
339,False,True,364,82
340,False,True,280,69
341,False,True,259,67
342,False,True,1092,192
343,False,True,324,76
344,False,True,429,90
345,False,True,901,159
346,False,True,341,78
347,False,True,397,86
348,False,True,498,106
349,False,True,440,93
350,False,True,396,87
351,False,True,884,160
352,False,True,946,169
353,False,True,259,66
354,False,True,1095,194
355,False,True,333,78
356,False,True,398,88
357,False,True,296,71
358,False,True,346,80
359,False,True,500,105
360,False,True,318,75
361,False,True,385,87
362,False,True,1024,189
363,False,True,281,71
364,False,True,1061,185
365,True,False,1146,136
366,False,True,332,77
367,False,True,313,73
368,False,True,347,82
369,True,False,1295,160
370,True,False,1289,159
371,False,True,587,109
372,False,True,338,88
373,False,True,138,45
374,False,True,395,87
375,True,False,1379,176
376,True,False,1303,162
377,True,False,1159,137
378,False,True,468,98
379,True,False,1193,143
380,False,True,310,71
381,False,True,120,43
382,True,False,1256,152
383,True,False,1288,155
384,True,False,1379,174
385,False,True,591,118
386,False,True,414,91
387,True,False,1537,198
388,True,False,1316,163
389,False,True,491,102
390,False,True,364,85
391,True,False,1299,160
392,False,True,453,99
393,False,True,512,109
394,False,True,478,103
395,True,False,1479,189
396,False,True,281,71
397,False,True,454,98
398,True,False,1457,187
399,False,True,325,79
400,False,True,270,67
401,False,True,310,74
402,False,True,294,72
403,False,True,384,86
404,False,True,426,94
405,False,True,246,65
406,True,False,1237,150
407,False,True,152,57
408,False,True,485,103
409,False,True,331,78
410,False,True,121,43
411,False,True,217,57
412,False,True,130,44
413,False,True,261,66
414,True,False,1349,167
415,True,False,1453,188
416,False,True,331,92
417,True,False,1162,137
418,True,False,1339,167
419,False,True,440,96
420,False,True,455,98
421,True,False,1198,144
422,False,True,241,63
423,False,True,530,107
424,False,True,358,83
425,True,False,1344,169
426,False,True,406,90
