episode_number,success_episode,failure_episode,episode_reward,episode_step
1,False,True,-122,31
2,False,True,-166,19
3,False,True,-162,15
4,False,True,-168,17
5,False,True,-86,51
6,False,True,-145,28
7,False,True,-167,14
8,False,True,-157,24
9,False,True,-150,19
10,False,True,-158,19
11,False,True,-126,31
12,False,True,-100,41
13,False,True,-118,47
14,False,True,-98,39
15,False,True,-143,26
16,False,True,-158,23
17,False,True,-106,43
18,False,True,-139,26
19,False,True,-143,26
20,False,True,-120,33
21,False,True,-136,33
22,False,True,-149,28
23,False,True,-146,23
24,False,True,-90,55
25,False,True,-131,34
26,False,True,-100,53
27,False,True,-86,47
28,False,True,-135,34
29,False,True,-118,39
30,False,True,-135,26
31,False,True,-106,43
32,False,True,-96,41
33,False,True,-148,21
34,False,True,-171,10
35,False,True,-165,20
36,False,True,-138,19
37,False,True,-135,30
38,False,True,-134,31
39,False,True,-169,12
40,False,True,-172,13
41,False,True,-120,33
42,False,True,-174,7
43,False,True,-144,25
44,False,True,-175,14
45,False,True,-137,28
46,False,True,-124,33
47,False,True,-176,9
48,False,True,-143,26
49,False,True,-175,10
50,False,True,-106,35
51,False,True,-166,11
52,False,True,-172,9
53,False,True,-146,27
54,False,True,-123,38
55,False,True,-118,27
56,False,True,-134,27
57,False,True,-150,19
58,False,True,-169,12
59,False,True,-100,45
60,False,True,-146,23
61,False,True,-115,30
62,False,True,-147,30
63,False,True,-136,25
64,False,True,-126,31
65,False,True,-107,38
66,False,True,-143,26
67,False,True,-139,26
68,False,True,-120,37
69,False,True,-116,33
70,False,True,-157,16
71,False,True,-83,66
72,False,True,-134,27
73,False,True,-90,51
74,False,True,-151,18
75,False,True,-131,34
76,False,True,-112,45
77,False,True,-110,35
78,False,True,-110,31
79,False,True,-87,54
80,False,True,-131,30
81,False,True,-160,17
82,False,True,-133,36
83,False,True,-143,30
84,False,True,-138,27
85,False,True,-171,14
86,False,True,-105,40
87,False,True,-109,40
88,False,True,-157,16
89,False,True,-89,60
90,False,True,-161,24
91,False,True,-96,45
92,False,True,-131,30
93,False,True,-151,22
94,False,True,-132,29
95,False,True,-130,27
96,False,True,-166,11
97,False,True,-114,39
98,False,True,-131,30
99,False,True,-144,21
100,False,True,-142,27
101,False,True,-148,17
102,False,True,-124,25
103,False,True,-148,29
104,False,True,-152,13
105,False,True,-100,41
106,False,True,-171,14
107,False,True,-173,12
108,False,True,-167,22
109,False,True,-133,24
110,False,True,-145,20
111,False,True,-112,37
112,False,True,-114,35
113,False,True,-113,36
114,False,True,-136,29
115,False,True,-117,36
116,False,True,-118,35
117,False,True,-139,22
118,False,True,-112,29
119,False,True,-177,12
120,False,True,-133,32
121,False,True,-93,44
122,False,True,-115,38
123,False,True,-165,20
124,False,True,-130,31
125,False,True,-118,35
126,False,True,-120,41
127,False,True,-144,21
128,False,True,-146,19
129,False,True,-176,9
130,False,True,-124,33
131,False,True,-116,41
132,False,True,-148,21
133,False,True,-141,32
134,False,True,-100,45
135,False,True,-124,33
136,False,True,-139,22
137,False,True,-131,26
138,False,True,-127,42
139,False,True,-126,31
140,False,True,-130,35
141,False,True,-147,26
142,False,True,-125,36
143,False,True,-105,36
144,False,True,-126,35
145,False,True,-120,33
146,False,True,-132,33
147,False,True,-105,36
148,False,True,-99,42
149,False,True,-169,16
150,False,True,-163,22
151,False,True,-124,37
152,False,True,-120,37
153,False,True,-123,38
154,False,True,-125,44
155,False,True,-84,53
156,False,True,-128,37
157,False,True,-168,13
158,False,True,-171,14
159,False,True,-170,11
160,False,True,-160,13
161,False,True,-178,11
162,False,True,-174,11
163,False,True,-155,18
164,False,True,-141,32
165,False,True,-130,31
166,False,True,-144,25
167,False,True,-129,36
168,False,True,-164,17
169,False,True,-131,38
170,False,True,-170,15
171,False,True,-164,13
172,False,True,-165,16
173,False,True,-143,22
174,False,True,-152,29
175,False,True,-131,30
176,False,True,-176,9
177,False,True,-162,11
178,False,True,-162,19
179,False,True,-118,31
180,False,True,-136,25
181,False,True,-125,32
182,False,True,-166,15
183,False,True,-152,21
184,False,True,-165,12
185,False,True,-172,9
186,False,True,-170,15
187,False,True,-174,11
188,False,True,-141,24
189,False,True,-157,20
190,False,True,-138,27
191,False,True,-141,24
192,False,True,-173,16
193,False,True,-107,38
194,False,True,-142,23
195,False,True,-110,51
196,False,True,-131,30
197,False,True,-139,22
198,False,True,-161,24
199,False,True,-171,14
200,False,True,-183,6
201,False,True,-143,22
202,False,True,-148,25
203,False,True,-142,27
204,False,True,-90,47
205,False,True,-161,20
206,False,True,-175,10
207,False,True,-171,14
208,False,True,-167,14
209,False,True,-137,24
210,False,True,-130,31
211,False,True,-152,17
212,False,True,-155,18
213,False,True,-139,22
214,False,True,-133,32
215,False,True,-125,40
216,False,True,-133,28
217,False,True,-106,43
218,False,True,-147,18
219,False,True,-148,13
220,False,True,-152,17
221,False,True,-107,34
222,False,True,-146,19
223,False,True,-132,33
224,False,True,-138,23
225,False,True,-146,19
226,False,True,-168,13
227,False,True,-169,16
228,False,True,-132,37
229,False,True,-101,48
230,False,True,-116,29
231,False,True,-173,12
232,False,True,-150,23
233,False,True,-162,19
234,False,True,-89,56
235,False,True,-91,50
236,False,True,-87,58
237,False,True,-172,9
238,False,True,-164,13
239,False,True,-164,13
240,False,True,-170,11
241,False,True,-129,32
242,False,True,-145,20
243,False,True,-173,12
244,False,True,-145,20
245,False,True,-150,15
246,False,True,-117,32
247,False,True,-100,37
248,False,True,-117,36
249,False,True,-85,60
250,False,True,-166,15
251,False,True,-145,20
252,False,True,-157,20
253,False,True,-105,36
254,False,True,-120,41
255,False,True,-159,14
256,False,True,-130,35
257,False,True,-122,39
258,False,True,-175,14
259,False,True,-105,40
260,False,True,-145,28
261,False,True,-122,27
262,False,True,-166,19
263,False,True,-150,19
264,False,True,-164,17
265,False,True,-158,15
266,False,True,-140,25
267,False,True,-172,9
268,False,True,-171,10
269,False,True,-128,29
270,False,True,-144,29
271,False,True,-140,29
272,False,True,-148,21
273,False,True,-81,60
274,False,True,-116,41
275,False,True,-120,41
276,False,True,-131,34
277,False,True,-144,21
278,False,True,-155,26
279,False,True,-144,17
280,False,True,-162,19
281,False,True,-163,14
282,False,True,-132,21
283,False,True,-164,17
284,False,True,-109,28
285,False,True,-105,48
286,False,True,-127,30
287,False,True,-158,19
288,False,True,-142,31
289,False,True,-161,20
290,False,True,-148,17
291,False,True,-177,8
292,False,True,-177,8
293,False,True,-176,9
294,False,True,-142,23
295,False,True,-103,42
296,False,True,-115,30
297,False,True,-145,20
298,False,True,-147,18
299,False,True,-162,23
300,False,True,-155,26
301,False,True,-141,24
302,False,True,-128,37
303,False,True,-152,25
304,False,True,-105,40
305,False,True,-159,18
306,False,True,-147,18
307,False,True,-162,15
308,False,True,-160,13
