episode_number,success_episode,failure_episode,episode_reward,episode_step
1,False,True,-137,24
2,False,True,-109,44
3,False,True,-96,49
4,False,True,-129,36
5,False,True,-137,36
6,False,True,-138,27
7,False,True,-103,46
8,False,True,-108,41
9,False,True,-172,9
10,False,True,-138,27
11,False,True,-149,28
12,False,True,-129,32
13,False,True,-167,18
14,False,True,-100,45
15,False,True,-143,26
16,False,True,-103,46
17,False,True,-127,46
18,False,True,-143,22
19,False,True,-132,33
20,False,True,-141,24
21,False,True,-122,35
22,False,True,-134,27
23,False,True,-173,12
24,False,True,-138,23
25,False,True,-84,53
26,False,True,-148,17
27,False,True,-160,21
28,False,True,-120,29
29,False,True,-155,14
30,False,True,-166,15
31,False,True,-167,10
32,False,True,-148,25
33,False,True,-139,22
34,False,True,-137,28
35,False,True,-143,26
36,False,True,-143,26
37,False,True,-139,22
38,False,True,-87,58
39,False,True,-159,14
40,False,True,-168,21
41,False,True,-102,43
42,False,True,-111,42
43,False,True,-176,13
44,False,True,-141,24
45,False,True,-121,44
46,False,True,-182,7
47,False,True,-118,43
48,False,True,-104,53
49,False,True,-110,35
50,False,True,-125,32
51,False,True,-141,24
52,False,True,-99,38
53,False,True,-159,14
54,False,True,-171,18
55,False,True,-162,15
56,False,True,-118,39
57,False,True,-80,57
58,False,True,-122,39
59,False,True,-139,22
60,False,True,-121,40
61,False,True,-165,16
62,False,True,-107,38
63,False,True,-137,32
64,False,True,-126,35
65,False,True,-151,22
66,False,True,-159,18
67,False,True,-166,15
68,False,True,-166,19
69,False,True,-171,18
70,False,True,-130,31
71,False,True,-121,36
72,False,True,-152,17
73,False,True,-162,15
74,False,True,-158,15
75,False,True,-169,20
76,False,True,-147,18
77,False,True,-133,32
78,False,True,-131,38
79,False,True,-137,24
80,False,True,-121,44
81,False,True,-138,35
82,False,True,-114,43
83,False,True,-101,44
84,False,True,-142,23
85,False,True,-144,21
86,False,True,-114,31
87,False,True,-130,31
88,False,True,-139,26
89,False,True,-93,52
90,False,True,-179,14
91,False,True,-155,14
92,False,True,-123,34
93,False,True,-110,35
94,False,True,-136,25
95,False,True,-102,39
96,False,True,-143,26
97,False,True,-137,24
98,False,True,-148,17
99,False,True,-130,31
100,False,True,-131,34
101,False,True,-107,34
102,False,True,-131,34
103,False,True,-140,25
104,False,True,-140,25
105,False,True,-114,47
106,False,True,-163,18
107,False,True,-127,38
108,False,True,-151,14
109,False,True,-147,18
110,False,True,-138,23
111,False,True,-165,12
112,False,True,-119,38
113,False,True,-130,31
114,False,True,-133,28
115,False,True,-105,40
116,False,True,-130,31
117,False,True,-123,34
118,False,True,-149,20
119,False,True,-162,15
120,False,True,-165,12
121,False,True,-166,15
122,False,True,-100,45
123,False,True,-91,54
124,False,True,-133,32
125,False,True,-132,33
126,False,True,-153,24
127,False,True,-101,40
128,False,True,-152,25
129,False,True,-134,27
130,False,True,-117,32
131,False,True,-126,31
132,False,True,-105,48
133,False,True,-109,36
134,False,True,-166,19
135,False,True,-100,41
136,False,True,-155,14
137,False,True,-135,26
138,False,True,-126,27
139,False,True,-113,52
140,False,True,-97,52
141,False,True,-82,67
142,False,True,-153,20
143,False,True,-170,11
144,False,True,-163,18
145,False,True,-111,46
146,False,True,-128,37
147,False,True,-149,20
148,False,True,-154,23
149,False,True,-159,18
150,False,True,-172,9
151,False,True,-125,32
152,False,True,-168,9
153,False,True,-159,18
154,False,True,-104,41
155,False,True,-163,18
156,False,True,-184,9
157,False,True,-150,19
158,False,True,-111,38
159,False,True,-127,26
160,False,True,-140,33
161,False,True,-97,48
162,False,True,-137,24
163,False,True,-142,23
164,False,True,-84,53
165,False,True,-131,30
166,False,True,-135,30
167,False,True,-111,42
168,False,True,-135,26
169,False,True,-144,25
170,False,True,-132,25
171,False,True,-116,29
172,False,True,-101,40
173,False,True,-159,18
174,False,True,-130,27
175,False,True,-137,24
176,False,True,-76,61
177,False,True,-129,28
178,False,True,-117,40
179,False,True,-133,24
180,False,True,-175,14
181,False,True,-166,19
182,False,True,-157,16
183,False,True,-91,42
184,False,True,-100,37
185,False,True,-146,19
186,False,True,-100,41
187,False,True,-123,42
188,False,True,-135,26
189,False,True,-169,16
190,False,True,-129,32
191,False,True,-145,24
192,False,True,-136,29
